Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-25.000	0.20343	560.60	0.0017838	6.1397	6.1557	33.959	65.793	102.85	1049.1	-0.34862	163.00	0.11940	0.013390	4.6302	0.21597	22.151	24.089	106.23	57.227	68.171	221.21	31.354	6.7337	0.013144
-24.000	0.21119	559.38	0.0017877	6.2423	6.2589	34.372	65.920	103.09	1042.6	-0.34434	161.29	0.11884	0.013257	4.7959	0.20851	22.199	24.140	106.14	57.443	68.468	221.31	31.047	6.7602	0.013241
-23.000	0.21918	558.15	0.0017916	6.3451	6.3624	34.784	66.049	103.34	1036.1	-0.33999	159.60	0.11828	0.013125	4.9661	0.20137	22.246	24.192	106.06	57.660	68.767	221.40	30.746	6.7867	0.013337
-22.000	0.22739	556.92	0.0017956	6.4482	6.4662	35.195	66.179	103.59	1029.5	-0.33558	157.92	0.11773	0.012993	5.1409	0.19452	22.293	24.244	105.98	57.878	69.070	221.49	30.451	6.8133	0.013435
-21.000	0.23584	555.69	0.0017996	6.5515	6.5702	35.606	66.310	103.84	1023.0	-0.33109	156.27	0.11717	0.012861	5.3203	0.18796	22.341	24.295	105.90	58.098	69.375	221.57	30.162	6.8399	0.013532
-20.000	0.24452	554.45	0.0018036	6.6550	6.6744	36.016	66.442	104.10	1016.5	-0.32654	154.64	0.11662	0.012729	5.5046	0.18167	22.388	24.347	105.82	58.318	69.684	221.64	29.878	6.8665	0.013631
-19.000	0.25344	553.21	0.0018076	6.7588	6.7790	36.425	66.575	104.36	1010.0	-0.32191	153.04	0.11607	0.012598	5.6938	0.17563	22.435	24.398	105.75	58.539	69.997	221.70	29.600	6.8932	0.013730
-18.000	0.26261	551.96	0.0018117	6.8628	6.8838	36.834	66.709	104.62	1003.4	-0.31720	151.45	0.11553	0.012466	5.8879	0.16984	22.482	24.449	105.68	58.761	70.312	221.75	29.327	6.9199	0.013830
-17.000	0.27203	550.71	0.0018158	6.9671	6.9888	37.242	66.844	104.89	996.89	-0.31242	149.88	0.11498	0.012335	6.0872	0.16428	22.530	24.500	105.61	58.984	70.631	221.80	29.060	6.9467	0.013930
-16.000	0.28170	549.45	0.0018200	7.0716	7.0942	37.649	66.981	105.16	990.36	-0.30757	148.33	0.11444	0.012204	6.2916	0.15894	22.577	24.551	105.54	59.208	70.954	221.84	28.798	6.9736	0.014031
-15.000	0.29162	548.19	0.0018242	7.1763	7.1998	38.056	67.118	105.43	983.82	-0.30263	146.79	0.11389	0.012073	6.5012	0.15382	22.624	24.602	105.47	59.433	71.280	221.87	28.541	7.0004	0.014132
-14.000	0.30181	546.92	0.0018284	7.2814	7.3057	38.462	67.257	105.71	977.28	-0.29761	145.28	0.11335	0.011942	6.7162	0.14889	22.671	24.653	105.40	59.659	71.610	221.89	28.289	7.0274	0.014234
-13.000	0.31227	545.65	0.0018327	7.3866	7.4119	38.868	67.396	105.99	970.74	-0.29250	143.78	0.11281	0.011811	6.9367	0.14416	22.718	24.703	105.34	59.886	71.943	221.90	28.041	7.0544	0.014337
-12.000	0.32300	544.37	0.0018370	7.4922	7.5183	39.273	67.537	106.27	964.20	-0.28731	142.31	0.11228	0.011681	7.1628	0.13961	22.766	24.754	105.27	60.115	72.281	221.91	27.799	7.0815	0.014440
-11.000	0.33400	543.09	0.0018413	7.5979	7.6251	39.677	67.679	106.55	957.66	-0.28203	140.84	0.11174	0.011551	7.3945	0.13523	22.813	24.804	105.21	60.344	72.622	221.90	27.562	7.1086	0.014545
-10.000	0.34528	541.80	0.0018457	7.7040	7.7321	40.081	67.822	106.84	951.11	-0.27666	139.40	0.11121	0.011421	7.6321	0.13103	22.860	24.855	105.15	60.574	72.967	221.89	27.329	7.1359	0.014650
-9.0000	0.35684	540.50	0.0018501	7.8103	7.8394	40.485	67.966	107.13	944.56	-0.27120	137.97	0.11068	0.011291	7.8755	0.12698	22.907	24.905	105.09	60.806	73.317	221.87	27.101	7.1632	0.014755
-8.0000	0.36870	539.20	0.0018546	7.9169	7.9470	40.888	68.111	107.43	938.01	-0.26564	136.56	0.11015	0.011161	8.1249	0.12308	22.954	24.955	105.03	61.039	73.671	221.84	26.878	7.1906	0.014862
-7.0000	0.38085	537.90	0.0018591	8.0238	8.0550	41.290	68.257	107.73	931.45	-0.25998	135.16	0.10962	0.011032	8.3804	0.11933	23.001	25.005	104.97	61.272	74.029	221.81	26.658	7.2180	0.014969
-6.0000	0.39329	536.59	0.0018636	8.1309	8.1632	41.692	68.404	108.03	924.89	-0.25422	133.78	0.10909	0.010902	8.6422	0.11571	23.048	25.054	104.92	61.507	74.391	221.76	26.444	7.2456	0.015077
-5.0000	0.40604	535.27	0.0018682	8.2383	8.2717	42.094	68.552	108.34	918.33	-0.24836	132.42	0.10857	0.010773	8.9103	0.11223	23.094	25.104	104.87	61.744	74.759	221.70	26.233	7.2733	0.015185
-4.0000	0.41909	533.95	0.0018728	8.3460	8.3806	42.495	68.702	108.65	911.77	-0.24239	131.06	0.10804	0.010644	9.1849	0.10887	23.141	25.153	104.81	61.981	75.131	221.64	26.027	7.3010	0.015295
-3.0000	0.43245	532.62	0.0018775	8.4539	8.4897	42.896	68.852	108.97	905.20	-0.23631	129.73	0.10752	0.010516	9.4661	0.10564	23.188	25.202	104.76	62.220	75.508	221.57	25.825	7.3289	0.015405
-2.0000	0.44613	531.28	0.0018822	8.5622	8.5992	43.296	69.004	109.29	898.63	-0.23012	128.41	0.10700	0.010388	9.7540	0.10252	23.235	25.251	104.71	62.459	75.890	221.49	25.628	7.3569	0.015517
-1.0000	0.46013	529.94	0.0018870	8.6707	8.7090	43.696	69.157	109.61	892.05	-0.22381	127.10	0.10649	0.010259	10.049	0.099514	23.281	25.300	104.66	62.700	76.277	221.40	25.434	7.3850	0.015629
0.0000	0.47446	528.59	0.0018918	8.7795	8.8191	44.096	69.311	109.94	885.47	-0.21738	125.80	0.10597	0.010131	10.351	0.096613	23.328	25.349	104.61	62.943	76.670	221.30	25.244	7.4132	0.015742
1.0000	0.48911	527.24	0.0018967	8.8887	8.9296	44.495	69.465	110.27	878.89	-0.21083	124.52	0.10546	0.010004	10.659	0.093814	23.374	25.398	104.56	63.186	77.068	221.19	25.058	7.4416	0.015856
2.0000	0.50410	525.88	0.0019016	8.9981	9.0404	44.894	69.621	110.61	872.30	-0.20415	123.25	0.10495	0.0098764	10.975	0.091112	23.421	25.446	104.52	63.431	77.472	221.07	24.876	7.4701	0.015971
3.0000	0.51943	524.51	0.0019065	9.1078	9.1515	45.292	69.778	110.95	865.71	-0.19735	122.00	0.10444	0.0097492	11.299	0.088504	23.467	25.494	104.47	63.678	77.881	220.94	24.698	7.4988	0.016088
4.0000	0.53510	523.13	0.0019116	9.2178	9.2629	45.690	69.937	111.29	859.11	-0.19040	120.75	0.10393	0.0096223	11.630	0.085985	23.513	25.542	104.43	63.925	78.297	220.80	24.523	7.5276	0.016205
5.0000	0.55112	521.75	0.0019166	9.3281	9.3747	46.088	70.096	111.64	852.51	-0.18332	119.52	0.10343	0.0094956	11.969	0.083552	23.559	25.590	104.38	64.174	78.719	220.65	24.352	7.5565	0.016323
6.0000	0.56749	520.36	0.0019217	9.4388	9.4869	46.485	70.256	112.00	845.91	-0.17610	118.30	0.10292	0.0093692	12.315	0.081201	23.605	25.637	104.34	64.425	79.147	220.50	24.185	7.5856	0.016442
7.0000	0.58422	518.96	0.0019269	9.5497	9.5994	46.883	70.418	112.36	839.30	-0.16873	117.10	0.10242	0.0092431	12.670	0.078929	23.651	25.685	104.30	64.677	79.582	220.33	24.021	7.6149	0.016563
8.0000	0.60131	517.56	0.0019321	9.6610	9.7122	47.280	70.580	112.72	832.69	-0.16121	115.90	0.10192	0.0091173	13.032	0.076732	23.697	25.732	104.26	64.930	80.023	220.15	23.860	7.6444	0.016684
9.0000	0.61877	516.15	0.0019374	9.7726	9.8254	47.676	70.744	113.09	826.07	-0.15353	114.72	0.10142	0.0089917	13.403	0.074609	23.743	25.779	104.22	65.185	80.472	219.97	23.703	7.6740	0.016807
10.000	0.63660	514.73	0.0019428	9.8845	9.9390	48.073	70.908	113.47	819.44	-0.14569	113.55	0.10093	0.0088664	13.783	0.072555	23.789	25.826	104.18	65.441	80.928	219.77	23.550	7.7039	0.016931
11.000	0.65481	513.30	0.0019482	9.9967	10.053	48.469	71.074	113.85	812.81	-0.13768	112.38	0.10043	0.0087413	14.171	0.070568	23.834	25.872	104.14	65.699	81.392	219.56	23.399	7.7339	0.017056
12.000	0.67340	511.86	0.0019536	10.109	10.167	48.865	71.241	114.24	806.17	-0.12950	111.23	0.099940	0.0086166	14.568	0.068646	23.880	25.918	104.10	65.959	81.863	219.34	23.252	7.7642	0.017183
13.000	0.69238	510.42	0.0019592	10.222	10.282	49.261	71.409	114.63	799.53	-0.12114	110.09	0.099450	0.0084922	14.973	0.066785	23.925	25.964	104.07	66.220	82.342	219.12	23.108	7.7946	0.017310
14.000	0.71175	508.97	0.0019648	10.335	10.397	49.656	71.578	115.03	792.88	-0.11259	108.96	0.098962	0.0083680	15.388	0.064984	23.970	26.010	104.03	66.482	82.830	218.88	22.967	7.8254	0.017439
15.000	0.73151	507.50	0.0019704	10.449	10.513	50.052	71.748	115.44	786.23	-0.10385	107.84	0.098476	0.0082442	15.813	0.063240	24.016	26.055	103.99	66.747	83.327	218.63	22.829	7.8563	0.017570
16.000	0.75168	506.03	0.0019762	10.563	10.628	50.447	71.919	115.85	779.57	-0.094916	106.73	0.097991	0.0081207	16.247	0.061551	24.061	26.101	103.96	67.013	83.832	218.37	22.695	7.8875	0.017702
17.000	0.77225	504.55	0.0019820	10.677	10.745	50.843	72.092	116.27	772.90	-0.085776	105.63	0.097509	0.0079975	16.691	0.059914	24.105	26.146	103.92	67.281	84.346	218.10	22.563	7.9189	0.017835
18.000	0.79324	503.06	0.0019878	10.792	10.861	51.238	72.265	116.69	766.23	-0.076422	104.54	0.097028	0.0078746	17.144	0.058329	24.150	26.190	103.89	67.550	84.871	217.82	22.434	7.9507	0.017970
19.000	0.81464	501.57	0.0019938	10.907	10.979	51.633	72.440	117.13	759.55	-0.066849	103.46	0.096550	0.0077520	17.608	0.056792	24.195	26.235	103.85	67.821	85.405	217.52	22.308	7.9827	0.018107
20.000	0.83646	500.06	0.0019998	11.022	11.096	52.028	72.615	117.57	752.86	-0.057047	102.39	0.096073	0.0076297	18.082	0.055303	24.239	26.279	103.82	68.095	85.949	217.22	22.185	8.0150	0.018245
21.000	0.85871	498.54	0.0020059	11.138	11.214	52.423	72.792	118.02	746.16	-0.047008	101.32	0.095598	0.0075078	18.567	0.053858	24.283	26.323	103.79	68.369	86.504	216.90	22.065	8.0476	0.018385
22.000	0.88139	497.01	0.0020120	11.254	11.332	52.817	72.970	118.47	739.45	-0.036723	100.27	0.095125	0.0073863	19.063	0.052458	24.327	26.366	103.75	68.646	87.070	216.58	21.948	8.0805	0.018526
23.000	0.90451	495.47	0.0020183	11.371	11.451	53.212	73.149	118.94	732.74	-0.026183	99.224	0.094654	0.0072650	19.570	0.051099	24.371	26.409	103.72	68.925	87.648	216.24	21.833	8.1137	0.018670
