Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
1.0000	0.31840	1392.8	0.00071796	24.268	24.296	121.32	70.808	113.17	607.90	-0.27266	242.62	0.075301	0.011689	18.438	0.054235	40.625	42.713	188.50	64.131	76.451	136.70	28.729	10.650	0.0088619
2.0000	0.32891	1389.6	0.00071963	24.381	24.410	121.73	70.896	113.40	603.89	-0.26755	240.06	0.074942	0.011555	19.018	0.052582	40.675	42.766	188.45	64.314	76.749	136.70	28.518	10.688	0.0089143
3.0000	0.33968	1386.4	0.00072132	24.494	24.523	122.14	70.985	113.63	599.88	-0.26234	237.52	0.074584	0.011422	19.611	0.050991	40.725	42.819	188.40	64.498	77.050	136.70	28.310	10.727	0.0089668
4.0000	0.35071	1383.1	0.00072302	24.607	24.637	122.55	71.073	113.86	595.87	-0.25704	235.02	0.074226	0.011290	20.219	0.049458	40.775	42.873	188.35	64.682	77.355	136.69	28.106	10.766	0.0090194
5.0000	0.36201	1379.8	0.00072474	24.720	24.752	122.96	71.162	114.10	591.87	-0.25164	232.54	0.073869	0.011157	20.842	0.047980	40.825	42.926	188.30	64.866	77.663	136.68	27.907	10.805	0.0090723
6.0000	0.37358	1376.5	0.00072647	24.834	24.866	123.37	71.251	114.34	587.86	-0.24613	230.10	0.073512	0.011025	21.479	0.046556	40.875	42.978	188.25	65.051	77.975	136.66	27.711	10.844	0.0091253
7.0000	0.38543	1373.2	0.00072822	24.947	24.981	123.78	71.340	114.58	583.85	-0.24053	227.68	0.073155	0.010893	22.132	0.045183	40.925	43.031	188.20	65.236	78.290	136.64	27.519	10.884	0.0091785
8.0000	0.39756	1369.9	0.00072998	25.061	25.096	124.18	71.430	114.82	579.84	-0.23481	225.30	0.072800	0.010762	22.800	0.043859	40.975	43.083	188.16	65.421	78.609	136.61	27.331	10.923	0.0092319
9.0000	0.40997	1366.6	0.00073176	25.175	25.211	124.59	71.519	115.07	575.83	-0.22898	222.94	0.072444	0.010631	23.484	0.042582	41.025	43.135	188.11	65.607	78.932	136.58	27.147	10.963	0.0092855
10.000	0.42267	1363.2	0.00073356	25.289	25.327	124.99	71.609	115.32	571.83	-0.22304	220.60	0.072089	0.010500	24.184	0.041350	41.074	43.187	188.07	65.793	79.259	136.54	26.966	11.003	0.0093393
11.000	0.43566	1359.9	0.00073537	25.404	25.443	125.40	71.699	115.57	567.82	-0.21698	218.30	0.071734	0.010369	24.900	0.040160	41.124	43.239	188.03	65.979	79.590	136.50	26.788	11.043	0.0093932
12.000	0.44894	1356.5	0.00073720	25.519	25.559	125.80	71.789	115.83	563.81	-0.21080	216.02	0.071380	0.010239	25.633	0.039012	41.173	43.291	187.98	66.166	79.926	136.45	26.614	11.083	0.0094474
13.000	0.46253	1353.1	0.00073905	25.634	25.675	126.20	71.879	116.09	559.80	-0.20449	213.76	0.071026	0.010110	26.383	0.037903	41.222	43.342	187.94	66.353	80.265	136.40	26.444	11.124	0.0095017
14.000	0.47642	1349.7	0.00074092	25.749	25.792	126.60	71.969	116.35	555.79	-0.19806	211.53	0.070673	0.0099801	27.150	0.036832	41.271	43.393	187.90	66.541	80.609	136.34	26.277	11.164	0.0095562
15.000	0.49063	1346.3	0.00074280	25.864	25.908	127.01	72.060	116.62	551.77	-0.19149	209.33	0.070320	0.0098510	27.935	0.035798	41.320	43.444	187.86	66.729	80.958	136.28	26.113	11.205	0.0096110
16.000	0.50514	1342.8	0.00074471	25.980	26.025	127.41	72.151	116.89	547.76	-0.18479	207.15	0.069967	0.0097223	28.737	0.034798	41.369	43.494	187.82	66.917	81.312	136.21	25.952	11.246	0.0096660
17.000	0.51997	1339.4	0.00074663	26.096	26.143	127.81	72.242	117.17	543.75	-0.17795	204.99	0.069614	0.0095940	29.558	0.033831	41.417	43.544	187.78	67.106	81.670	136.13	25.795	11.287	0.0097211
18.000	0.53513	1335.9	0.00074857	26.212	26.260	128.21	72.333	117.45	539.73	-0.17096	202.85	0.069262	0.0094660	30.398	0.032897	41.466	43.594	187.74	67.295	82.034	136.05	25.641	11.329	0.0097765
19.000	0.55061	1332.4	0.00075054	26.328	26.378	128.61	72.424	117.73	535.71	-0.16382	200.74	0.068910	0.0093383	31.257	0.031993	41.514	43.644	187.70	67.485	82.403	135.97	25.490	11.371	0.0098322
20.000	0.56642	1328.9	0.00075252	26.445	26.497	129.01	72.516	118.02	531.69	-0.15653	198.65	0.068558	0.0092110	32.135	0.031119	41.562	43.693	187.67	67.675	82.777	135.88	25.341	11.413	0.0098880
21.000	0.58256	1325.3	0.00075452	26.562	26.615	129.40	72.608	118.31	527.67	-0.14908	196.58	0.068207	0.0090841	33.032	0.030273	41.610	43.742	187.63	67.866	83.157	135.78	25.196	11.455	0.0099441
22.000	0.59904	1321.8	0.00075655	26.679	26.734	129.80	72.700	118.61	523.64	-0.14147	194.53	0.067855	0.0089576	33.950	0.029455	41.658	43.791	187.59	68.057	83.543	135.68	25.054	11.498	0.010000
23.000	0.61587	1318.2	0.00075860	26.796	26.853	130.20	72.793	118.91	519.61	-0.13368	192.50	0.067504	0.0088314	34.888	0.028663	41.705	43.840	187.56	68.248	83.935	135.57	24.915	11.541	0.010057
24.000	0.63305	1314.6	0.00076067	26.914	26.972	130.60	72.885	119.22	515.58	-0.12573	190.49	0.067153	0.0087056	35.848	0.027896	41.753	43.888	187.52	68.441	84.333	135.46	24.779	11.584	0.010114
25.000	0.65057	1311.0	0.00076276	27.032	27.092	130.99	72.979	119.53	511.54	-0.11759	188.50	0.066802	0.0085802	36.828	0.027153	41.800	43.936	187.49	68.633	84.737	135.34	24.645	11.628	0.010171
26.000	0.66846	1307.4	0.00076487	27.150	27.212	131.39	73.072	119.84	507.51	-0.10926	186.53	0.066452	0.0084552	37.830	0.026434	41.847	43.983	187.45	68.826	85.149	135.21	24.514	11.672	0.010228
27.000	0.68670	1303.8	0.00076701	27.268	27.332	131.78	73.166	120.17	503.46	-0.10074	184.58	0.066101	0.0083305	38.855	0.025737	41.894	44.031	187.42	69.020	85.567	135.08	24.386	11.717	0.010286
28.000	0.70531	1300.1	0.00076918	27.387	27.452	132.18	73.260	120.49	499.42	-0.092025	182.65	0.065751	0.0082062	39.902	0.025061	41.940	44.078	187.39	69.214	85.992	134.94	24.261	11.761	0.010344
29.000	0.72429	1296.4	0.00077137	27.506	27.573	132.57	73.354	120.83	495.37	-0.083099	180.73	0.065400	0.0080824	40.972	0.024407	41.987	44.124	187.35	69.409	86.425	134.80	24.139	11.807	0.010402
30.000	0.74365	1292.7	0.00077358	27.625	27.694	132.97	73.449	121.16	491.31	-0.073960	178.83	0.065050	0.0079589	42.066	0.023772	42.033	44.171	187.32	69.604	86.865	134.65	24.019	11.852	0.010460
31.000	0.76339	1289.0	0.00077582	27.744	27.816	133.36	73.544	121.51	487.25	-0.064599	176.95	0.064700	0.0078358	43.184	0.023157	42.079	44.216	187.29	69.800	87.313	134.50	23.902	11.898	0.010519
32.000	0.78350	1285.2	0.00077809	27.864	27.938	133.76	73.640	121.86	483.19	-0.055008	175.09	0.064349	0.0077131	44.326	0.022560	42.125	44.262	187.25	69.997	87.770	134.34	23.787	11.945	0.010578
33.000	0.80401	1281.4	0.00078038	27.984	28.060	134.15	73.736	122.22	479.12	-0.045179	173.24	0.063999	0.0075909	45.494	0.021981	42.170	44.307	187.22	70.194	88.235	134.17	23.675	11.992	0.010637
34.000	0.82491	1277.6	0.00078271	28.104	28.182	134.54	73.833	122.58	475.04	-0.035104	171.41	0.063648	0.0074690	46.687	0.021419	42.216	44.352	187.19	70.392	88.709	134.00	23.565	12.039	0.010697
35.000	0.84621	1273.8	0.00078506	28.225	28.305	134.94	73.930	122.96	470.96	-0.024773	169.60	0.063298	0.0073476	47.906	0.020874	42.261	44.396	187.15	70.591	89.193	133.82	23.458	12.087	0.010757
36.000	0.86791	1269.9	0.00078744	28.346	28.429	135.33	74.028	123.33	466.87	-0.014177	167.80	0.062947	0.0072266	49.152	0.020345	42.305	44.440	187.12	70.790	89.686	133.63	23.354	12.136	0.010817
37.000	0.89001	1266.1	0.00078985	28.467	28.552	135.72	74.126	123.72	462.78	-0.0033049	166.01	0.062597	0.0071060	50.426	0.019831	42.350	44.484	187.09	70.990	90.190	133.44	23.252	12.185	0.010878
38.000	0.91253	1262.2	0.00079230	28.589	28.676	136.11	74.225	124.12	458.68	0.0078530	164.25	0.062246	0.0069858	51.727	0.019332	42.394	44.527	187.06	71.191	90.703	133.24	23.152	12.235	0.010939
39.000	0.93547	1258.2	0.00079477	28.710	28.800	136.50	74.324	124.52	454.57	0.019308	162.49	0.061895	0.0068660	53.057	0.018848	42.438	44.570	187.02	71.393	91.228	133.03	23.055	12.285	0.011000
40.000	0.95882	1254.3	0.00079728	28.832	28.925	136.90	74.424	124.93	450.45	0.031072	160.75	0.061544	0.0067467	54.416	0.018377	42.482	44.612	186.99	71.595	91.765	132.82	22.960	12.336	0.011062
41.000	0.98260	1250.3	0.00079982	28.955	29.050	137.29	74.525	125.35	446.33	0.043158	159.02	0.061192	0.0066278	55.805	0.017920	42.525	44.654	186.96	71.798	92.313	132.60	22.867	12.388	0.011124
42.000	1.0068	1246.3	0.00080240	29.078	29.175	137.68	74.626	125.78	442.20	0.055577	157.31	0.060840	0.0065094	57.224	0.017475	42.568	44.696	186.93	72.002	92.874	132.37	22.777	12.440	0.011187
43.000	1.0315	1242.2	0.00080501	29.201	29.301	138.07	74.728	126.22	438.06	0.068345	155.61	0.060488	0.0063914	58.675	0.017043	42.611	44.737	186.89	72.207	93.447	132.14	22.689	12.493	0.011250
44.000	1.0565	1238.1	0.00080766	29.324	29.427	138.46	74.831	126.67	433.91	0.081475	153.92	0.060136	0.0062739	60.158	0.016623	42.653	44.777	186.86	72.413	94.035	131.90	22.604	12.547	0.011313
45.000	1.0821	1234.0	0.00081034	29.448	29.554	138.85	74.935	127.13	429.75	0.094983	152.24	0.059783	0.0061568	61.673	0.016215	42.696	44.817	186.82	72.620	94.637	131.65	22.521	12.602	0.011377
