Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
30.340	1.1784	594.84	0.0016811	8.2924	8.3261	33.657	47.212	82.240	1297.2	-0.068287	120.84	0.45807	0.019296	9.1362	0.10946	25.597	27.794	97.804	37.388	55.675	404.43	24.189	10.029	0.028816
31.340	1.2137	593.30	0.0016855	8.3738	8.4086	33.925	47.189	82.407	1289.7	-0.065111	119.68	0.45581	0.019069	9.4057	0.10632	25.605	27.802	97.618	37.548	56.080	404.39	23.879	10.062	0.029022
32.340	1.2499	591.75	0.0016899	8.4553	8.4913	34.193	47.166	82.578	1282.2	-0.061869	118.54	0.45355	0.018842	9.6816	0.10329	25.612	27.810	97.432	37.709	56.492	404.34	23.574	10.096	0.029231
33.340	1.2868	590.19	0.0016944	8.5370	8.5741	34.460	47.144	82.752	1274.6	-0.058559	117.40	0.45128	0.018616	9.9641	0.10036	25.619	27.818	97.248	37.871	56.912	404.28	23.275	10.129	0.029443
34.340	1.3246	588.62	0.0016989	8.6188	8.6572	34.727	47.122	82.930	1267.1	-0.055178	116.28	0.44901	0.018390	10.253	0.097529	25.625	27.825	97.064	38.034	57.338	404.20	22.981	10.162	0.029657
35.340	1.3632	587.05	0.0017034	8.7008	8.7404	34.993	47.101	83.113	1259.5	-0.051725	115.17	0.44674	0.018165	10.549	0.094791	25.631	27.832	96.881	38.198	57.773	404.12	22.693	10.196	0.029874
36.340	1.4027	585.47	0.0017080	8.7829	8.8237	35.260	47.081	83.299	1251.9	-0.048198	114.08	0.44446	0.017940	10.853	0.092144	25.637	27.838	96.698	38.363	58.215	404.02	22.410	10.230	0.030094
37.340	1.4430	583.88	0.0017127	8.8652	8.9073	35.525	47.061	83.489	1244.3	-0.044595	112.99	0.44217	0.017715	11.163	0.089584	25.643	27.844	96.516	38.528	58.665	403.91	22.133	10.264	0.030318
38.340	1.4842	582.28	0.0017174	8.9476	8.9910	35.791	47.042	83.684	1236.7	-0.040914	111.92	0.43988	0.017491	11.480	0.087106	25.648	27.850	96.335	38.694	59.123	403.79	21.860	10.298	0.030544
39.340	1.5263	580.67	0.0017221	9.0302	9.0749	36.056	47.024	83.883	1229.0	-0.037151	110.86	0.43759	0.017267	11.805	0.084708	25.653	27.855	96.154	38.862	59.590	403.66	21.593	10.332	0.030773
