Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-20.000	0.13273	1358.3	0.00073623	17.706	17.716	91.854	87.248	131.93	713.79	-0.24277	347.58	0.10107	0.014298	6.7845	0.14739	37.445	39.441	177.67	71.896	83.237	146.28	42.261	9.9995	0.0098164
-19.000	0.13857	1355.2	0.00073790	17.838	17.849	92.373	87.367	132.15	709.16	-0.23972	342.81	0.10061	0.014151	7.0662	0.14152	37.503	39.504	177.58	72.172	83.613	146.36	41.693	10.036	0.0098996
-18.000	0.14460	1352.1	0.00073958	17.970	17.981	92.892	87.485	132.37	704.53	-0.23662	338.12	0.10014	0.014005	7.3571	0.13592	37.561	39.567	177.49	72.450	83.992	146.44	41.138	10.072	0.0099830
-17.000	0.15084	1349.0	0.00074127	18.102	18.114	93.409	87.604	132.59	699.91	-0.23346	333.52	0.099684	0.013859	7.6574	0.13059	37.620	39.629	177.41	72.729	84.376	146.52	40.595	10.108	0.010067
-16.000	0.15728	1345.9	0.00074297	18.235	18.247	93.925	87.724	132.82	695.29	-0.23024	329.00	0.099225	0.013714	7.9673	0.12551	37.678	39.692	177.32	73.009	84.763	146.58	40.064	10.144	0.010150
-15.000	0.16394	1342.8	0.00074469	18.367	18.380	94.440	87.844	133.05	690.68	-0.22696	324.56	0.098767	0.013569	8.2870	0.12067	37.736	39.755	177.24	73.289	85.154	146.65	39.544	10.181	0.010234
-14.000	0.17082	1339.7	0.00074643	18.500	18.513	94.953	87.964	133.28	686.06	-0.22362	320.21	0.098310	0.013424	8.6168	0.11605	37.794	39.817	177.16	73.571	85.549	146.71	39.036	10.217	0.010318
-13.000	0.17792	1336.6	0.00074818	18.633	18.647	95.466	88.085	133.51	681.45	-0.22021	315.93	0.097854	0.013279	8.9568	0.11165	37.852	39.879	177.08	73.854	85.948	146.76	38.539	10.253	0.010402
-12.000	0.18524	1333.4	0.00074994	18.766	18.781	95.977	88.206	133.75	676.84	-0.21675	311.73	0.097398	0.013135	9.3074	0.10744	37.910	39.941	177.00	74.138	86.352	146.81	38.053	10.289	0.010486
-11.000	0.19280	1330.3	0.00075172	18.900	18.915	96.487	88.328	133.99	672.23	-0.21322	307.61	0.096944	0.012991	9.6688	0.10343	37.968	40.003	176.93	74.424	86.759	146.85	37.576	10.325	0.010571
-10.000	0.20060	1327.1	0.00075351	19.034	19.049	96.996	88.450	134.23	667.63	-0.20962	303.55	0.096491	0.012847	10.041	0.099590	38.026	40.064	176.86	74.710	87.171	146.89	37.110	10.362	0.010655
-9.0000	0.20864	1323.9	0.00075532	19.168	19.184	97.505	88.572	134.47	663.03	-0.20595	299.56	0.096039	0.012704	10.425	0.095925	38.084	40.126	176.79	74.997	87.587	146.92	36.654	10.398	0.010740
-8.0000	0.21693	1320.8	0.00075714	19.302	19.318	98.012	88.695	134.72	658.42	-0.20221	295.65	0.095588	0.012561	10.820	0.092422	38.141	40.187	176.72	75.285	88.008	146.94	36.207	10.434	0.010825
-7.0000	0.22548	1317.6	0.00075898	19.436	19.454	98.518	88.819	134.97	653.82	-0.19839	291.79	0.095138	0.012418	11.227	0.089072	38.199	40.248	176.65	75.574	88.433	146.96	35.770	10.471	0.010911
-6.0000	0.23428	1314.3	0.00076084	19.571	19.589	99.023	88.943	135.23	649.22	-0.19450	288.00	0.094689	0.012275	11.646	0.085867	38.257	40.309	176.58	75.865	88.863	146.98	35.342	10.507	0.010996
-5.0000	0.24334	1311.1	0.00076271	19.706	19.724	99.527	89.067	135.49	644.63	-0.19054	284.28	0.094241	0.012133	12.077	0.082801	38.314	40.370	176.52	76.156	89.298	146.99	34.923	10.543	0.011082
-4.0000	0.25268	1307.9	0.00076460	19.841	19.860	100.03	89.192	135.75	640.03	-0.18649	280.61	0.093794	0.011991	12.521	0.079866	38.371	40.430	176.46	76.448	89.737	146.99	34.512	10.580	0.011168
-3.0000	0.26228	1304.6	0.00076650	19.976	19.996	100.53	89.317	136.01	635.43	-0.18236	277.01	0.093347	0.011850	12.978	0.077055	38.429	40.491	176.39	76.742	90.182	146.98	34.110	10.616	0.011254
-2.0000	0.27217	1301.4	0.00076843	20.111	20.133	101.03	89.443	136.28	630.84	-0.17815	273.46	0.092902	0.011709	13.448	0.074362	38.486	40.551	176.33	77.036	90.631	146.98	33.716	10.653	0.011340
-1.0000	0.28234	1298.1	0.00077037	20.247	20.269	101.53	89.569	136.55	626.24	-0.17385	269.96	0.092457	0.011568	13.931	0.071782	38.543	40.611	176.28	77.332	91.086	146.96	33.330	10.689	0.011427
0.0000	0.29280	1294.8	0.00077233	20.383	20.406	102.03	89.695	136.83	621.65	-0.16946	266.53	0.092013	0.011427	14.428	0.069309	38.600	40.670	176.22	77.628	91.546	146.94	32.952	10.726	0.011514
1.0000	0.30356	1291.5	0.00077431	20.520	20.544	102.53	89.822	137.11	617.05	-0.16498	263.14	0.091570	0.011287	14.939	0.066937	38.656	40.730	176.16	77.926	92.012	146.91	32.581	10.763	0.011601
2.0000	0.31462	1288.1	0.00077631	20.656	20.681	103.03	89.950	137.39	612.46	-0.16040	259.81	0.091128	0.011147	15.465	0.064663	38.713	40.789	176.11	78.224	92.483	146.88	32.219	10.800	0.011689
3.0000	0.32598	1284.8	0.00077833	20.793	20.819	103.52	90.078	137.68	607.86	-0.15572	256.53	0.090687	0.011008	16.005	0.062480	38.770	40.848	176.05	78.524	92.959	146.84	31.863	10.837	0.011777
