Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-58.000	0.042002	1458.1	0.00068582	11.706	11.709	63.641	56.632	92.729	930.59	-0.37597	433.59	0.12160	0.021071	2.0700	0.48309	31.066	32.820	161.77	39.886	49.086	156.46	61.928	8.9952	0.0062137
-57.000	0.044408	1455.3	0.00068714	11.799	11.802	64.071	56.621	92.794	925.94	-0.37409	427.57	0.12112	0.020905	2.1802	0.45867	31.101	32.862	161.51	40.026	49.264	156.70	61.032	9.0363	0.0062600
-56.000	0.046924	1452.5	0.00068846	11.892	11.894	64.499	56.611	92.862	921.29	-0.37216	421.67	0.12063	0.020738	2.2950	0.43573	31.136	32.904	161.25	40.167	49.443	156.94	60.154	9.0774	0.0063065
-55.000	0.049553	1449.7	0.00068979	11.985	11.987	64.926	56.603	92.932	916.64	-0.37019	415.90	0.12015	0.020572	2.4145	0.41416	31.171	32.946	161.00	40.308	49.624	157.18	59.295	9.1185	0.0063533
-54.000	0.052299	1446.9	0.00069113	12.077	12.081	65.351	56.595	93.005	911.99	-0.36818	410.25	0.11966	0.020406	2.5389	0.39387	31.206	32.987	160.75	40.451	49.807	157.41	58.454	9.1595	0.0064002
-53.000	0.055166	1444.1	0.00069248	12.170	12.174	65.774	56.590	93.080	907.34	-0.36613	404.72	0.11918	0.020240	2.6683	0.37478	31.241	33.029	160.51	40.594	49.992	157.64	57.630	9.2004	0.0064475
-52.000	0.058158	1441.3	0.00069383	12.263	12.267	66.195	56.585	93.158	902.69	-0.36404	399.30	0.11870	0.020074	2.8028	0.35679	31.276	33.070	160.27	40.738	50.179	157.87	56.824	9.2414	0.0064949
-51.000	0.061278	1438.4	0.00069520	12.357	12.360	66.616	56.582	93.239	898.04	-0.36190	394.00	0.11822	0.019909	2.9426	0.33983	31.311	33.112	160.03	40.883	50.368	158.09	56.034	9.2822	0.0065426
-50.000	0.064530	1435.6	0.00069657	12.450	12.454	67.034	56.580	93.322	893.39	-0.35971	388.79	0.11774	0.019744	3.0879	0.32385	31.346	33.153	159.79	41.029	50.559	158.30	55.261	9.3231	0.0065905
-49.000	0.067919	1432.8	0.00069796	12.543	12.547	67.451	56.579	93.407	888.74	-0.35749	383.69	0.11726	0.019579	3.2387	0.30876	31.381	33.194	159.57	41.175	50.753	158.52	54.503	9.3639	0.0066386
